no,x_coordination,y_coordination,demand,Weight,Delivery Deadline
1,35,35,0,2.857623994,2
2,41,49,10,0.572538432,7
3,35,17,7,1.060629422,1
4,55,45,13,2.528777993,5
5,55,20,19,1.293503139,6
6,15,30,26,1.670661429,3
7,25,30,3,1.173684302,6
8,20,50,5,1.902678786,7
9,10,43,9,2.120861247,6
10,55,60,16,3.386274365,4
11,30,60,16,2.37796423,2
12,20,65,12,3.267271275,6
13,50,35,19,0.5,7
14,30,25,23,0.888483638,5
15,15,10,20,3.449501301,4
16,30,5,8,0.672438453,7
17,10,20,19,2.904502602,2
18,5,30,2,0.976973648,1
19,20,40,12,0.306647177,4
20,15,60,17,0.661096198,1
21,45,65,9,2.978926873,3
22,45,20,11,0.920331616,5
23,45,10,18,0.279988931,7
24,55,5,29,1.981557477,5
25,65,35,3,3.307188824,1
26,65,20,6,3.92641955,7
27,45,30,17,1.821336848,3
28,35,40,16,1.37966147,6
29,41,37,16,0.916944107,7
30,64,42,9,0.462758058,3
31,40,60,21,2.091931705,7
32,31,52,27,3.009925656,7
33,35,69,23,2.373699223,7
34,53,52,11,1.020940886,5
35,65,55,14,1.362414336,4
36,63,65,8,2.209232049,2
37,2,60,5,0.743524174,1
38,20,20,8,1.601126514,5
39,5,5,16,0.86197169,5
40,60,12,31,0.374686253,2
41,40,25,9,0.351901773,2
42,42,7,5,0.98906435,1
43,24,12,5,1.538782682,1
44,23,3,7,2.864634118,7
45,11,14,18,2.356126844,1
46,6,38,16,2.758603797,4
47,2,48,1,0.321886887,4
48,8,56,27,2.615392043,6
49,13,52,36,3.222301837,5
50,6,68,30,0.791756634,2
51,47,47,13,1.397057199,5
52,49,58,10,1.294214738,3
53,27,43,9,3.31689072,4
54,37,31,14,0.612235559,2
55,57,29,18,0.597703369,7
56,63,23,2,2.007646789,5
57,53,12,6,1.890342068,7
58,32,12,7,0.85866918,7
59,36,26,18,0.561581824,4
60,21,24,28,0.505361065,5
61,17,34,3,1.918745753,2
62,12,24,13,1.822635955,5
63,24,58,19,3.873131381,6
64,27,69,10,1.071566884,4
65,15,77,9,5,7
66,62,77,20,0.551624115,2
67,49,73,25,3.152087554,5
68,67,5,25,1.192514241,7
69,56,39,36,1.550143657,6
70,37,47,6,0.765118783,6
71,37,56,5,0.568680427,6
72,57,68,15,1.653095081,6
73,47,16,25,2.222361821,2
74,44,17,9,2.655200502,6
75,46,13,8,2.958223237,4
76,49,11,18,0.333651858,4
77,49,42,13,1.07932396,4
78,53,43,14,1.625245711,7
79,61,52,3,2.546929575,7
80,57,48,23,0.513673218,4
81,56,37,6,2.623140677,7
82,55,54,26,0.786357354,5
83,15,47,16,0.429088372,1
84,14,37,11,0.357498143,3
85,11,31,7,3.018242894,5
86,16,22,41,1.26468443,3
87,4,18,35,3.283485541,1
88,28,18,26,0.705060812,6
89,26,52,9,3.203028327,2
90,26,35,15,1.836852824,4
91,31,67,3,1.98774145,5
92,15,19,1,2.375844627,2
93,22,22,2,0.25279361,2
94,18,24,22,2.201630312,3
95,26,27,27,1.30691183,5
96,25,24,20,0.733382363,7
97,22,27,11,2.041443395,1
98,25,21,12,3.043008206,7
99,19,21,10,2.253869882,4
100,20,26,9,2.670328424,1
